"category","texts"
"Mexican","Im from Nashville, and we came on vacation to Orlando. I just want to say WOW. 
Great customer service from both hosts and our server.
As an appetizer we...I've been to the locations in NYC and I always had a great meal. I visited this location and was equally as satisfied as I was before. This time, I ordered...Very poor management and customer service. Let's start from the beginning, on Sunday afternoon we cAme in to have a lunch , asked for a table outside. They..."
"American (New)","Burger Week take 2...
Stopped by for lunch today(Thursday). Friendly greeting from Hostess. Sat at bar. Promptly greeted by bartender Caitlin. Ordered BW...RusTeak was one of many establishments that participated in Orlando Burger Week, which ran from Feb 22nd thru March 3rd this year (2019).  So when I started...I visited this adorable spot for a UYE for burger week. The atmosphere within this restaurant is cozy and warm. It's very ""rustic"" (cute decor with the..."
"Chinese","Easily our favorite Noodles place in Orlando. Their no problem and accomodating attitude towards food allergies and other issues make this establishment top...I had passed this place over and over and finally decided to try it.  I am so incredibly happy that we did!

It has many different options and are very...We live nearby and this is truly one of my favorite restaurants in Orlando. 

It's also the only place we ever order take out.

Usually we get the Cream..."
"Indian","Had malai kofta for takeout. Was delicious ! I enjoyed the sauce, spice levels, and the veggie balls. Sauce was thick and creamy and had a mild...I ended up here by happenstance but left very happy. Good food and great service. After a long day of shopping at the outlets, I went to pump gas at the...This is a trendy, yet authentic, Indian restaurant located in the heart of the tourist area of Orlando. One of the things I'm loving more and more about..."
"American (Traditional)","Great burgers. I've been there several times and have tried several of their burgers and have never been let down.
They also make great old fashions also in...So a little birdy told me The Whiskey has the best burgers in town, so we decided to stop by before heading to a show.

Upon walking in we weren't greeted,...Don't miss the chance to visit The Whiskey! This place was absolutely one of a kind. Delicious food, wonderful drinks, engaging and fun staff. It's not a..."
"American (New)","Really cozy, intimate and wonderful service! Both the hostess and server were very helpful and genuine in helping us figure out what we wanted for dinner!...I visited with a group of 5 on a Saturday night and I left so happy!  

Drinks: Gin and Juice is delicious!!! And I don't like gin. 

Apps: chicken...In love with the food here! I think the appetizers are even better than the main courses. I highly recommend trying the macaroni and cheese croquettes,..."
"Vegan","Drunken Monkey is my preferred go-to spot to work on projects with friends. It's never too loud in there and the atmosphere is quite cozy.

Drunken Monkey...I've been here quite a few times especially when I used to live downtown. There was a time when the baristas weren't that welcoming and I felt rushed when...I went here earlier today for the first time. The barista recommended something she described as a Mexican hot chocolate but with coffee. I forgot the name..."
"Vegan","I was hunting murals for a work project and inadvertantly found this cute little tea and gift shop in the process. We stopped in for espressos and they had...Great tea spot. Stopped in to have a cup of tea and was pleasantly surprised. Spacious inside with plenty of seating, a few tables out front as well. They...A nice little find in Orlando!

It was nice to look around at all the little gifts while we waited for our teas to steep. A recommended visit for any tea..."
"Mexican","What a great restaurant!!! I don't travel across town much but we went for a birthday dinner and it was so worth the drive! First of all, it looked slammed!...This place honestly makes me feel like I'm in Mexico.The closeness and Hispanic culture vibe is everywhere. When they say music, mariachi bands and salsa...I didn't know that this place existed. My daughter treated me to Don Julios after a Sunday afternoon of shopping, so we were hungry! We arrived to a strip..."
"Korean","BBB Tofu is my new go to spot for Korean BBQ!!! We came in later on the evening the other night super hungry and we were not disappointed! Everyone there...A cozy Korean tofu house in the Asian market area to cure your cravings. There are lots of combos that you can include a small portion of bbq meats and then...Came here on Christmas day and was delighted to have dinner here.

The beef bulgogi was superb!! I was so sad to have ordered only a small portion. My son..."
"Vietnamese","From beginning to end, you will not be disappointed. Lovely mom and pop eatery, where their passion is truly reflected in variety of dishes they offer. Our...Stopped by for lunch and wanted to try the pho. It was Tuesday morning, 11:00 am right at opening. They were out of pho, really? Weak sauce. They also don't...Pineapple Salmon Curry: 5 stars
Pad Thai: 5 stars
Viet Egg Rolls: 5 stars
Rangoon Empanadas: 4 stars
Spring Rolls: 4 stars
Pho: 4 stars. It is not..."
"American (New)","Marlow's is located on I-10 Drive which is Tourist Central which is a shame because locals are missing out on the most amazing service and food.
As soon as...Great bartender - attentive, willing to make suggestions, friendly. Sorry, I forgot your name but I believe you moved into the Orlando area from Georgia...Experience and food was absolutely incredible. Thanks for an awesome time!

Didn't wait at all for a table and food came quick. Beer selection was extensive..."
"Thai","Stopped here for a quick lunch before heading to the airport. Very inviting space, it had a good vibe. Service was friendly and quick. We had a delicious...I was super excited because I finally got my pineapple rice. It was my wife's birthday yesterday and we placed a big order. The food was terrible. I am very...We were craving for Thai foods. We stumbled upon this place on yelp. Seeing that it has a high rating, we went to try it out.

Boy was I not surprised? Lol...."
"American (New)","Came back here with my sister as we were in the area. I loved it so much the first time I came that I brought her to try it out. 
I got the same thing as...Too Much Sauce and, unfortunately, sub-par flavor.

I'm a huge fan of healthy food joints and use of local ingredients. However, I don't believe that you...I'm so happy to see a local restaurant with healthy eating options. I try to food prep healthy food for the week but often I find myself either too busy or..."
"American (New)","Love this location, the food and the staff! They do only have outdoor seating so plan your meal accordingly!!

I highly recommend the Monte Cristo, super...I came here on a Sunday morning. I have visited this market several times before. Keep in mind that there isn't a lot of parking. If it is full, park around...First off, there are only about 5 spaces for parking so you end up parking about a block or two away by the lake.

Second, this place is quite average...."
"Thai","Just added this to the list of top Thai spots to go to in Orlando. I won't mislead you however with this review as I'm as basic as they come with my Thai...This is located in the busy Mills 50 area by Guesthouse and St Matthews. I parallel parked a block away to avoid not finding parking in front of it. This...Best dinner early Friday evening! Waited on by Haley and Barbie (correct my spelling ladies?) with outstanding service and incredible food. 

Chicken Pad..."
"American (Traditional)","I've been coming to this establishment for at least a year or so now. Every time, it's been a pleasant experience. The employees seem to love their job!...Even though I don't want to, I have to drop down a star as Cork and Fork seem to be heading in the wrong direction. We went recently and our table was...WOW!  What a terrific find.  We attended a play that our neighbor's son was starring in at a church down the street.  We were hungry after the performance,..."
"Mediterranean","This place is just amazing fun, especially when you are not sure what to expect.  Flying napkins, loud music, dancers and just a crazy atmosphere.  So much...The food is good. Taste is authentic. Our server Fillppos was good. He asked us how our meal was quite often, and he took it upon himself to clean up some...What an experience! Visited for a friends birthday this past weekend. Napkins EVERY WHERE and lots of dancing! Let's talk about the food- it was delish!..."
"American (Traditional)","Wow!  What a great breakfast joint - why aren't these awesome places open all day!

I'm always excited to try a new breakfast place and I happened to be in...This was the best breakfast I have had in a long time. I have considered that this review is tainted by the fact that I'm 9 months pregnant and I think most...What can I say. If you love
Breakfast rub your ass here and don't be a wuss and get egg whites! Seriously I am in heaven. Whether hung over, sober or still..."
"Thai","Best thai place and excellent customer service! I love the ambiance and decor. I always get their panang curry- mild to medium spicy. Their spicy level is...Since our previous Thai place decided to rest on their laurels and let their service go down the drain, we were left with no other options. As luck will...Very disappointed in the Thai house duck""
Sauce is just thickened vegetable soup with no flavor and just salty.
We used to come here often but cook got lazy..."
"American (New)","On Sunday, my girlfriend and I came in and dinner. Live music was great and fun place to enjoy the weather, regardless if you are inside or out. Lots of...The atmosphere is nice and it's a good place to come for live music and drinks... however, the food was not good, neither was my ""signature drink"". I ended...I chose this placed based on its reviews.  We drive 30 mins because of the yelp designation Locals Favorite.
It didn't occur to me that when they said it..."
"Chinese","Sometimes 2nd choices work out the best. Originally we wanted to go to the Hot Place down the block but it was a 2 and 1/2 hour wait!  Nope. 

We did...Service and quality have gone downhill. It's a shame because this was our go to Chinese spot. 

The beef is the lowest quality and the chicken was all dark...Sorry, I just don't get the hype. 

Kim Wu is not much different from a regular Chinese restaurant, but does have the appearance of a fancy restaurant in..."
"Vietnamese","Easily my favorite pho place in Orlando. I've never had a bad bowl of pho here in all the years I've come here. I hate that they're so far from me, but it's...Quiet restaurant with great, quick service and excellent pho! The menu offers a good variety of options, especially pho as you would expect. All the...Stopped in to pho 88 last night for a quick dinner before driving home from the 50 mills area. A friend had never tried pho before and I figured a decent..."
"American (New)","This is an update- the first time I dined here, I wasn't impressed as my prior review will show.  My husband and I did return for a birthday dinner and were...This is the farmstand vegetarian entree @the_osprey_tavern in Baldwin Park. The farmstand is smoked vegetables with mashed sweet potatoes on the bottom. The...Thoroughly disappointed.  

We visited Orlando for my husband and best friend's 40th birthday. They are both ""foodies"" and love a good meal. We did a great..."
"Mexican","A great Mexican spot, yes.  A great ""New Mexican"" food spot?  Yes, seguro!
We were in Orlando last week and before heading back south we thought to grab...I'm from NYC and I over the years I have eaten lots of Mexican, Chinese, and Pizza.  The food scene is epic in NYC.  If you were to move Chuy's to NYC it...Creamy Jalapeño Sauce!!!      They put that in front of me, with a basket of chips, and I could not stop eating them.   You MUST Try it!
Now that I've told..."
"American (New)","Been trying to come to this place for a while now, finally got a hot date there last night, and I have to say it was an amazing experience, good thing I...Located at the Ritz Carlton Orlando, the atmosphere, food and service of Norman's reflect the upscale nature of this resort. Wait staff is plentiful,...One of the possibly most stunning finds in Orlando was Norman's. We were coming in for a conference a while back and I knew that if this was a high..."
"American (Traditional)","What's not to love about shake shack? Wish there were more locations near me back at home cause every time I've been to a shake shack location, the shroom...Shake shack never disappoints in flavor but the portions are pretty small for the price you pay and this particular venue has a strong grease feeling making...So this is my first time at a Shake Shack but I know that when I come to Orlando I have to have it! If you're looking for a good burger then this is the..."
"American (New)","Best theme park restaurant in the world? Yeah I would think so based on what I've been having. At least compared to all US theme parks I've been to so far....My party of 5 had dinner at Mythos on a Monday night, which happened to be President's Day.  Given the fact that it was a holiday and that the online...It'd be a lie to say this is the only place to get ""real"" food inside of Islands of Adventure, because there are a number of tasty options in this park..."
"Italian","I've had NYPD many times but I decided to stop in and get a couple of slices to go before work today. So here's how to-go works by the slice: they have a...Best lunch in town! Great service and and better food served hot! And you can't beat the lunch price including a drink for under $7 
I love the meatball...This place is the bomb.com!!!
If your craving for some pizza and pasta
In Orange County. I definitely recommend this place. Food takes a little bit to serve..."
"Chinese","Just had to update my review since it's been a while since I reviewed this place and it's one of my favorite restaurants in Orlando. 

Food is always...One of the best Chinese food places I've had in a long time. Their Spicy Mongolian Beef is so flavorful and is what truly keeps me coming back for more....Stopped by here when visiting Orlando..This place doesnt sell any bubble tea! 

The place gets crowded, i would suggest to order in advance if you are...Just had to update my review since it's been a while since I reviewed this place and it's one of my favorite restaurants in Orlando. 

Food is always...One of the best Chinese food places I've had in a long time. Their Spicy Mongolian Beef is so flavorful and is what truly keeps me coming back for more....Stopped by here when visiting Orlando..This place doesnt sell any bubble tea! 

The place gets crowded, i would suggest to order in advance if you are..."
"Thai","Just had to update my review since it's been a while since I reviewed this place and it's one of my favorite restaurants in Orlando. 

Food is always...One of the best Chinese food places I've had in a long time. Their Spicy Mongolian Beef is so flavorful and is what truly keeps me coming back for more....Stopped by here when visiting Orlando..This place doesnt sell any bubble tea! 

The place gets crowded, i would suggest to order in advance if you are...Just had to update my review since it's been a while since I reviewed this place and it's one of my favorite restaurants in Orlando. 

Food is always...One of the best Chinese food places I've had in a long time. Their Spicy Mongolian Beef is so flavorful and is what truly keeps me coming back for more....Stopped by here when visiting Orlando..This place doesnt sell any bubble tea! 

The place gets crowded, i would suggest to order in advance if you are..."
"Mexican","This place is a MUST. When we come to Universal this is our first stop. The live music is amazing and the food is really good. We got guacamole to start...the salsa tasted really fresh, however, the service was not. i'm usually a frequent visitor to many mexican places and this is the first time i've ever...My family and I decided to do a early dinner at Antojitos while spending the day at Universal. None of the other options in City Walk really stood out at as..."
"Thai","When I moved to the area 6 years ago, I passed up this place because it looked like yet another asian restaurant in a strip mall.  Some years later, looking...The family celebrated Mom's birthday. She wanted seafood and I had a Restaurant.com coupon. I had the Ginger Duck. I wanted something crispy, which it was,...Best Thai restaurant in this side of town. I ordered a Chicken Panang Curry. The curry was very tasty that I even ate it when I ran out of rice. A nice kick..."
"Vietnamese","I was in search of a new pho place and had read all the great reviews and decided to give Anh Hong a try. I was not disappointed and want to come back and...Update:
I'm befuddled now. Just tried the food and it's so good! Even though the service was so bad, I might have to come back if I can't find another place...I have not been here for a couple of years and recently went again. Last time I came, the service took forever.  I ordered a boba tea at the end and that..."
"Thai","DELICIOUS!!! We ended up here after our hotel lost power and it was such good karma! Amazing decor (we didn't get to sit on the floor but that was an...The bf and I came here after our first day at Disney world. We were both craving Thai food, of all things. We rarely crave it, but today was different. So...We ordered 6 dishes

All shrimps are over cooked, pretty dry

drunken noodle taste like soy sauce mixed with flat noodle

pineapple fried rice was pretty..."
"Korean","Yet again I am late to the foodie game...I've heard of Izziban Sushi for a few years now, and JUST visited for my first time last night. 
After a fun...I love coming here! Even though the menu changes often, the food is always delicious! I've noticed the increase of sushi options as well, and sushi...Put on your stretchy pants, this place is for food lovers!  You don't have to over eat, but the food is so good, it just happens!  

There are a few things..."
"Vietnamese","Our go to restaurant. The atmosphere is great and the prices are amazing for Pho. We needed up coming here three times in 10 days. Very happy with the...Ahhh Pho and Roll. A place to experience Vietnamese food and cure even the worst of sicknesses. We always go if we're in the mood and/or try to get rid of...A bit unimpressed. Food was underwhelming. Had better pho, had worse, but definitely had better. Make sense? Lol.
Service was fair. Nothing..."
"American (New)","Came here on a Saturday afternoon when my flight got delayed and was pleasantly surprised by the food and service. I was extremely stressed out about...First time here. I've been wanting to see what this pace is all about. Very heavily themed place. A lot of wall art. Plenty of indoor and outdoor seating....Love this place to Dine with your Dog & friends. Inside and out covered areas separate dining & bar area with or without your pup areas. Servers were great,..."
"Korean","Hands down, best Korean food in Orlando. Whenever I visit my mom, we tend to come here because it's really close to her work and it's always delicious. The...Delicious food and a good amount of side dishes. I got the tteokbokki which was very tasty. My friend got the chicken which was also delicious. Dishes are a...4.5 stars... I'm definitely a fan! I've been coming here for 10 years, and sadly it's been over a year since I've been back but that changed today! And it's...Hands down, best Korean food in Orlando. Whenever I visit my mom, we tend to come here because it's really close to her work and it's always delicious. The...Delicious food and a good amount of side dishes. I got the tteokbokki which was very tasty. My friend got the chicken which was also delicious. Dishes are a...4.5 stars... I'm definitely a fan! I've been coming here for 10 years, and sadly it's been over a year since I've been back but that changed today! And it's..."
"American (Traditional)","Hands down, best Korean food in Orlando. Whenever I visit my mom, we tend to come here because it's really close to her work and it's always delicious. The...Delicious food and a good amount of side dishes. I got the tteokbokki which was very tasty. My friend got the chicken which was also delicious. Dishes are a...4.5 stars... I'm definitely a fan! I've been coming here for 10 years, and sadly it's been over a year since I've been back but that changed today! And it's...Hands down, best Korean food in Orlando. Whenever I visit my mom, we tend to come here because it's really close to her work and it's always delicious. The...Delicious food and a good amount of side dishes. I got the tteokbokki which was very tasty. My friend got the chicken which was also delicious. Dishes are a...4.5 stars... I'm definitely a fan! I've been coming here for 10 years, and sadly it's been over a year since I've been back but that changed today! And it's..."
"Italian","YOU SHOULD EAT HERE!

This is hands down our favorite pizza and pasta place. The quality of food here is so good. It is priced appropriately. The portions...Came here just before closing one night to avoid doing Chipotle. It was quiet, obviously, but the cooks were still working in the back and the waitress was...I went on ladies night with my bestie and we had a great time. We got free merlot with the purchase of an entree (pizza is included in this). I got The..."
"American (New)","Boyfriend and I have been here so many time's it's ridiculous lol, can't believe I've never written a review before. Our most recent visit was just to sit...Food arrived way way late---over an hour
Then it was under cooked
then out of tea!!!
Coral REEFER --- bad experienceIt's a very good place to eat, are very kindness and respectfully with people, the take your order very fast and served as fast as they take. 


Un muy buen..."
"Mediterranean","Authentic, delicious, just amazing! Totally recommend. 
Family owned restaurant and really Edwin made us feel like family. Have a beer - comes imported from...Got there on a Friday night and we were the only ones in the entire restaurant. So, we did not know what we were getting into. However, we stuck to the...Six of us arrived in Orlando two weeks ago and were looking for Mediterranean food. We found this restaurant with good reviews. When we got there, we..."
"Vietnamese","Great service and great food! Our waiter was so friendly and understanding when two of us at the table wanted vegetarian pho. It wasn't exactly on the menu,...We were choosing between Pho Vinh & Pho 88, and decided to give this place a try! We were a big group of 16 people, but they were very accommodating....(12/17/2018) came by for lunch, had a pho jones for weeks.  Trying to hit all the Vietnamese places on E. Colonial eventually.  Note: be wary of the turn..."
"Italian","On business we always head to Fresco Cucina. Privately owned and it shows. Clean, great wine list, excellent service and Delicious food. Everything is spot...My hubs and I read that this was a family owned business so we had to check it out. It is in a strip mall just south of turkey lake road. Most people going...It has been a year of occasional dining experiences at Fresco Cucina Italiana. I can not stress enough how important it is to make a reservation. Each time..."
"American (New)","Always a solid place for brunch. The food is decent & the mimosas are a good size. It's very quirky inside with the furniture & decor. 
I enjoy sitting at...On a whim, we decided to try a new place for dinner this evening.

Seeing the somewhat decent reviews, we picked White Wolf as the location and found...Cute cafe located in the Ivanhoe district. They have a great outdoor patio, and inside is decorated with a bunch of antique pieces like stained glass and..."
"American (Traditional)","Stopped here after the Mardi Gras celebration at Universal to get dinner. Upon entry we were told there was about a 40 minute wait, which we expected since...IGNORANT STAFF & CLUELESS MANAGEMENT.

IF YOU ARE VEGAN OR VEGETARIAN AVOID BY ALL MEANS!!!! The only reason we ate here is the Bob Marley restaurant was...Had a delicious lunch today & Reese gave us excellent service.  My husband had the lamb burger with parmigiana fries.  It was amazing with layers of flavor!..."
"Vietnamese","5 Stars for my favorite Vietnamese restaurant in the area! For the love of all things precious, order the Banh Cuon!

Before I go into the food, here's some...I wish I discovered Vietnam Cuisine earlier! Located on Colonial where there are other Vietnamese restaurant competitors, we decided to try this spot out....The best bun bo hue and pho! Can't find anything better than this. The broth is amazing and there's a good amount of meat. Very tasty and authentic. Bun..."
"American (New)","Delicious steak salads with big veggies and tasty dressing. Great portion and taste for a low price. I tried a bite of the salmon as well, and it was really...Monday night, so not busy at all. Which is a shame, because the food was really good!
It's nice to support small family owned restaurants when the strip...You order and pay at the counter.  

I ordered the Lamb Chops.  I would highly recommend them.  They did not disappoint.  The lamb was served with a bone...."
"Italian","I am tongue tied !! My first bite of gray was filled with tears of utter gastronomic joy ...
Old school Italian American food ... simply the Best ! 
There...This Italian restaurant has been an Orlando staple for more than 3 decades and Tony stands true to the original recipes starting with fresh made sauces...One of my absolute favorite restaurants in Orlando and some of the best Italian food I've ever had. Love the mom and pop feel of this place.

I haven't been..."
"American (New)","I attended brunch with a large group of friends last weekend and was overall satisfied. We were originally supposed to go elsewhere, but no one was willing...We made reservations for dinner when we were back in town visiting our old stomping grounds. When we arrived for dinner the restaurant was mostly vacant. We...My wife and I stopped by here for dinner on the way to the Weezer concert that night. Having not been there before we stepped inside ready to eat. Other..."
"Mexican","I've had this placed bookmarked for FOREVER. Finally, I went the other night -- and it did not disappoint. 

First of all-- we came after a theme park and...ROACHES! German roaches.Imagine my disgust when our waiter Jay attempted to hand me a styrofoam to go container with a roach sitting quite comfortably on...I have been wanting to try this restaurant for quite a while, but without reservations it's way too busy and I am too inpatient to wait and I now know why...."
"Thai","Was just gonna go downstairs at the hotel for quick bite. Decided I didn't want bar food. Looking up close restaurants and Coco Thai popped up. Absolutely...Came here for its location. It's right across the street from my hotel which was convenient at the max so that I could head to universal right after eating....Stopped by Coco for a quick dinner after visiting Universal Studios. Coco is very convenient to the parks and their food is delicious. We got the pad Thai,..."
"Vietnamese","Pho Hoa is home of my favorite vegetarian pho! What sets their pho aside is the yummy extra spices and veggies in their broth. It's also super reasonably...Came here for Sunday lunch. Service was extremely fast and nice. Food was amazing and come out right away. My favorite was the iced coffee. 

Overall: 6.5/10Was with my friend we ordered 2 different kind of pho and both got the same things in our soup. Very fatty thinly sliced meat. Mine was suppose to have some..."
"Mexican","Wow did this place impress me!
I came here for Sunday brunch with a group of friends to celebrate a birthday. 
After I finally figured out where exactly the...This is my second visit at Reyes. The first time I sat at the bar, but this time I was there for their Galantines event. Some of my girlfriends met up for a...I'm a little conflicted with my review of Reyes.  As far as a Happy Hour I think it's - 4-5 star.  Happy hour prices for drinks and decor are very nice...."
"Vegan","I love this place! Their juices are pure fresh and very clean. The juice recipes here are the best in town. Parking is normally really easy and the staff...Arrived around 6:00pm or so, which wasn't a busy time. I had the ""Chocolate Factory"", which had almond milk, almond butter, dark chocolate, organic cacao,...I sort of just stumbled into this gem without much research, and sometimes, that is precisely how the best places are found. 

Located in the growing SoDo..."
"American (New)","This is in such a great location at Universal City Walk and it's even better at night! We had to wait about half an hour but we were able to take a pager...I have always enjoyed eating at Hard Rock Cafe around the world.  Today I had lunch at HR Universal City Walk and left very disappointed in the manager...Our group of 14 went here for lunch on Monday and the entire table gave their meal a thumbs up. This is so far one of our best lunches as we are mid day..."
"Mexican","I am a taco fiend! I am always down for some tacos and constantly looking for new places to get them. I love that even though tacos are simple, there are...We went there for lunch and it felt for eternity. Everything was so slow that reminds me of these sloths working at DMV in Zootopia (highly recommend that...Good atmosphere, better food. 
It reminds me of a great dive bar, laid back, and great for a drink on a Friday night. I got the sloppy tacos,  ground beef,...I am a taco fiend! I am always down for some tacos and constantly looking for new places to get them. I love that even though tacos are simple, there are...We went there for lunch and it felt for eternity. Everything was so slow that reminds me of these sloths working at DMV in Zootopia (highly recommend that...Good atmosphere, better food. 
It reminds me of a great dive bar, laid back, and great for a drink on a Friday night. I got the sloppy tacos,  ground beef,..."
"American (Traditional)","I am a taco fiend! I am always down for some tacos and constantly looking for new places to get them. I love that even though tacos are simple, there are...We went there for lunch and it felt for eternity. Everything was so slow that reminds me of these sloths working at DMV in Zootopia (highly recommend that...Good atmosphere, better food. 
It reminds me of a great dive bar, laid back, and great for a drink on a Friday night. I got the sloppy tacos,  ground beef,...I am a taco fiend! I am always down for some tacos and constantly looking for new places to get them. I love that even though tacos are simple, there are...We went there for lunch and it felt for eternity. Everything was so slow that reminds me of these sloths working at DMV in Zootopia (highly recommend that...Good atmosphere, better food. 
It reminds me of a great dive bar, laid back, and great for a drink on a Friday night. I got the sloppy tacos,  ground beef,..."
"Thai","We decided to come for valentines day for the first time and I was surprised by the good service, delicious food and cheap prices. I will definetly  come...Quite pleasant

What did I get
I went here during the lunch hour and was surprised that they had a lunch menu. There was also a large variety of items. I...This is my second time at this restaurant; in both cases we took advantage of the sub $10 lunch specials. 

The food and service are both impressive. It's..."
"American (Traditional)","Great small diner with local feel. Cozy inside seating but opt for outside if the weather is good, the tables are covered so you won't roast from direct sun...Nice little hidden gem. Stopped by on a whim and it didn't disappoint. First of all, parking can be quite terrible in the mornings, they have a parking...After reading reviews I had hoped for a bit better quality.  Great environment, wouldn't take much for me to give it another star.

Food was not seasoned...."
"American (Traditional)","The food and service is always amazing here. I had an appetizer of the cornbread (for the first time) and it was surprisingly good. Then, I ordered my...We recently visited for a lite lunch this past Sunday before a event wanting to try something new. It had a nice atmosphere with soft music playing in the...When you walk in you get the look of an upscale restaurant. Once you sit you have the service level of an upscale restaurant but without the uptight feel...."
"Vegan","Hello, fellow Orlandoans... let's take advantage of the fact that we have yet another amazing Ethiopian restaurant within the confines of the City...First time dining there today and definitely will not be the last!  Food is fantastic and the service is even better. There was a sense of community in the...Exactly what you expect from a true Ethiopian Restaurant. Yes - the food is good. But more important, the classic and impeccable Ethiopian Hospitality - the..."
"Vietnamese","Our group were planning to visit the vegetarian place next door but due to bad Yelp intelligence (which hopefully they have fixed) it was closed.  Too lazy...My family used to come here all the time to get our Vietnamese food fix. It has been awhile so we decided to stop by on a Sunday afternoon. The restaurant...I've had decent experiences here in the past, but the most recent visit here disappointed me. Overall, this restaurant is essentially more Americanized than..."
"American (New)","In my opinion is one of the best restaurants I've ever been. Place is really elegant and every detail it's been taken care of. There is always a piano man...Wow!!! My husband and I celebrated an early Valentine's Day here. Wow! It had been a while since we had been here, and all I can could do
 was ask why. How...Chatham's is just phenomenal!

I celebrated an anniversary here and the wait staff really went above and beyond our expectations. The dining experience here..."
"Italian","This place has me jumping for joy. I live downtown and ordering delivery has always been a nightmare from most restaurants and delivery services. 

I...My new favorite pizza and pasta in Orlando!  Best sauce cheese crust and everything else.  Blown away with everything here. I will definitely be back.Fantastic pizza joint. Maybe it was because i haven't had pizza for few months but man o man, that was an amazing bite of food. 

Located somewhere in..."
"French","Vibe: The restaurant is located in downtown Orlando on the first floor of a Bank of America building. The space is bright and airy and has that brasserie...Absolutely loved this place. My test of a good bistro is the Reuben sandwich. Quite possibly the best Reuben I've had and I've had a lot of them all over...If it weren't for the food, I wouldn't have liked this place. We had no server for 10 minutes and finally Jamie came over to take our drink orders. She was..."
"Korean","Tbh, I loved it. I moved here from Atlanta where there was a heavy heavy Korean influence in the northern Metro area. The restaurants had to be good...When in Orlando and thinking of KBBQ, Izziban is definitely one that comes to mind. Most popular in my opinion is the Izziban on Colonial. 
This Sandlake...First the positives!

Love the concept of having your own little infrared grill to cook on. The all you can eat sushi was worth the price of however the..."
"American (Traditional)","- 4 Star rating simply because of the burgers! -

My husband and I have been to Wahlburgers before like when it first opened and tried to go again on New...3.5 stars but I'm rounding up rather than down. 

We were on the hunt for one of Orlando's best burgers (served at a nearby restaurant) but the place we...This place is really about the name.

Decent food. Nothing special.  I got the turkey burger with fries. My step son had one of the favorites.  He enjoyed..."
"Mexican","When i went in for the first time i was amazed but how great it smelled, the people that work there and the plates i was able to see in other tables.

I...It's mind boggling to understand why this place has such a high rating. My best guess is either this is as good as you're gonna get when it comes down to...A must try for some amazing authentic Mexican tacos! :) 

As mentioned from others, a hidden gem most definitely. This place is located inside of a small..."
"Italian","I am updating my review to 5 stars.  This place gets better and better.  In addition to having terrific pizza and your usual Italian dishes, they also have...One of the best family owned Italian restaurants in Orlando! This type of place reminds me of being back home in Connecticut. Del-Dio keeps it simple and...Wonderful food and service.  Great family run restaurant with a varied and consistent menu."
"Vietnamese","Pho sure, this is the best pho I've ever personally tried. It's $9 for a regular size bowl. I feel really full after it. Totally recommend.

The service is...When you have a sore throat, pho is a good comfort food. Thank god we found this place cause your girl has definitely been eating way too much fried theme...This was my first time having pho in Orlando. I have been to many such places throughout the country and this one rates above average.

It took a while for..."
"Korean","Had dinner here tonight and it was really great. Service was super and the food quality matched. We had the beef short ribs and chicken bulgogi. Both were...Very 1st time we went here was end of November last year. We yelped for Korean restaurants and found this place of real Korean food. Needless to say, if you...Bee Won is located on the corner of a small, congested strip. I was excited to try this place since it was closer than other Korean options and recommended..."
"Mexican","Great authentic food. Nice atmosphere. 

The service is great and very welcoming. I enjoyed it and will come again.Was in town for vacation (non-Disney) and stopped in twice, once for dinner and once for lunch. One word, excellent! Had fajitas and chilaquiles - both...I really tried giving this restaurant a few opportunities after a bad experience, but unfortunately things only get worst here and not better.  This used to..."
"Mexican","My experience here was great. Food was delicious, prices were good, server was kind and attentive to the table.

Seeing the pictures on Yelp had me excited...This is rice they give you when you order. I believe it is eaten rice and they re-use the same rice over and over again. We did not order beans. And yet...I don't review generally but this place is awesome! It was hoppin' on a Saturday night, place was clean staff was attentive, food was amazing! Try a michelada!"
"American (New)","This was very good place, we stayed at a nearby hotel and were looking for a late night meal.  I had the Bang Bang Shrimp Tacos and wife had a Shrimp and...A very good restaurant in any regard & given that you get this level of service & quality of food in a airport hotel district - it is outstanding!  My wife...Had to send back the same dish back twice. Horrible experience overall.

Maybe it was a bad night, but it also seemed like the manager didn't care too much..."
"Italian","Wait - no wait, we made a reservation but was late. However it wasn't super busy so they sat us down right away 

Food - Good - pasta was a little dry....My friends and I decided to check this restaurant out for magical dinner month. First off, this place is located in a very tourist area. 
Where do I...Order here many times 
Amazing pizza 
I had the heart shape pizza on Valentine's Day 
And also there personal pizza and it is the best ever......,,"
"Korean","A wonderful Valentine's Day dinner.
Finally got my yaki mandu!!
Service was awesome. We really loved the kimchi and kept asking for more and they graciously...Really good food. Had the bibimbap (rice bowl) and galbi (ribs) oh and yakimando (veggie dumplings) for an appetizer. The bibibap was the perfect size and...Out of all the food my family and I had here, I don't recommend anything but the Ttuk Kalbi Tang ($16)! It's beef broth with rice but it's literally the..."
"Italian","Four of us went for the first time, and the four of us will be back! We all tried the Chicken Parm, NY Steak, and Classic Combo sandwiches as well as a...Oh my goodness, how great is it to have an authentic Italian Deli in Orlando?  Stacio's is fantastic.  I first heard of them from a local food blogger, who...Stopped on for lunch yesterday for the first time. We were greeted right away and given a quick tour very friendly staff we. The place was somewhat busy and..."
